n,W,n*W,t_dp_seg,t_greedy_seg,coins
5,100,500,0.00002375,0.00000382,"[1, 3, 9, 42, 49]"
5,500,2500,0.00009584,0.00000224,"[1, 11, 75, 180, 197]"
5,1000,5000,0.00019273,0.00000217,"[1, 211, 268, 279, 361]"
8,1000,8000,0.00029983,0.00000243,"[1, 43, 133, 141, 157, 175, 215, 251]"
8,2500,20000,0.00070762,0.00000247,"[1, 83, 158, 470, 821, 1058, 1203, 1207]"
10,2500,25000,0.00084291,0.00000343,"[1, 130, 529, 705, 722, 883, 931, 1051, 1135, 1170]"
10,5000,50000,0.00186525,0.00000373,"[1, 542, 791, 1240, 1294, 1787, 2071, 2192, 2247, 2283]"
12,5000,60000,0.00233440,0.00000350,"[1, 185, 205, 275, 454, 634, 1132, 1327, 1412, 1694, 2096, 2272]"
12,10000,120000,0.00445855,0.00000430,"[1, 699, 1840, 1988, 2182, 2601, 2705, 2984, 3878, 4077, 4413, 4562]"
15,10000,150000,0.00522125,0.00000433,"[1, 1328, 1897, 1996, 2017, 2097, 2807, 3257, 3799, 4116, 4290, 4492, 4493, 4526, 4803]"
15,20000,300000,0.01097696,0.00000424,"[1, 20, 559, 895, 2300, 2609, 3002, 4398, 5672, 6080, 6667, 6768, 7203, 7929, 8400]"
20,20000,400000,0.01405506,0.00000543,"[1, 513, 604, 770, 920, 2170, 2774, 2775, 3541, 3755, 4278, 5634, 5904, 5911, 7225, 7450, 7481, 7910, 8227, 8530]"
20,40000,800000,0.02680815,0.00000737,"[1, 1837, 4506, 6556, 6843, 7178, 9764, 10817, 12466, 12522, 14385, 14632, 14840, 15829, 15977, 16243, 17988, 18223, 18921, 19587]"
25,40000,1000000,0.03394476,0.00002200,"[1, 478, 1331, 1346, 2612, 2902, 2962, 4916, 6023, 6432, 7558, 8431, 9895, 9920, 10429, 11524, 12628, 12712, 13297, 14055, 15467, 16500, 16810, 17506, 17715]"
25,80000,2000000,0.06601431,0.00001403,"[1, 755, 1469, 1990, 3569, 4438, 6195, 8968, 13582, 13824, 15136, 16742, 19737, 22111, 24557, 25210, 27564, 31044, 34295, 35570, 36504, 36686, 37536, 37606, 38144]"
